finance_id,payment_id,order_id,type,amount,created_at
fin_xCZkwPRQeNHpCq,pay_ABr1VjArnVgxwv,ord_NbrnTP3fAbnFbm,credit,32529.23,2026-02-16T12:09:00
fin_sjaSS8VFgM0Fmx,pay_4CqpIqK3yn9Ffc,ord_5QnuVdYXye4JSn,credit,25011.64,2026-03-17T11:04:00
fin_EHS2JpDzfOvz1d,pay_eVVhDIq2AnHTmt,ord_k754LEgw9YooJe,credit,36622.19,2026-03-11T15:22:00
fin_j7elKPoh3pKMzK,pay_d9Z850kEnydx9q,ord_OOdTXglHilC2eY,credit,42812.75,2026-01-09T08:26:00
fin_Zcui8kBRIg6Qjc,pay_FiveprBHs8YGPI,ord_G5mSoyPstUeC99,credit,3755.71,2026-01-19T04:30:00
fin_y8H6h8l7qgATtL,pay_j518Y2bTu5X1Yq,ord_wIAcw58cwQPvI2,credit,48694.47,2026-03-05T22:26:00
fin_YUPnmbpD0ezNmR,pay_Ph3FPuRIlPxUkJ,ord_FxJpRa5HSUPweP,credit,16576.98,2026-01-27T18:13:00
fin_zHzmA4KR1VxavU,pay_CGItUBY3A4Bj1B,ord_EpOaUVgAk7Gdp0,credit,22877.45,2026-03-10T09:25:00
fin_h6CpwL7SWktJ5J,pay_8H4KPfA1lquCu2,ord_07zUHLnnBbuQzk,credit,23422.77,2026-01-11T21:09:00
fin_Xv2Rra6fSEVQOE,pay_wFv0Yg7NZRBT7q,ord_4x6mKZpRsQXXJc,credit,26683.99,2026-02-26T10:26:00
fin_heEJQjY6fpIzKM,pay_tU6QlTrKVL8Zsw,ord_XfnQsKDGAUuRqp,credit,6120.73,2026-01-17T10:10:00
fin_HBL3TLboP1KbVY,pay_eaBKsoRRCQ5WMO,ord_Wx4sKAJd7gVMqf,credit,12069.27,2026-02-17T02:30:00
fin_Ix5F21rWz5FYrs,pay_Rr6YICtu8zF9OH,ord_JVkGBr9BY8Dztg,credit,8125.16,2026-02-05T03:14:00
fin_udwApzQlkLxQEK,pay_tD4x9XOj7h7ug0,ord_K9EjHvIHCtlRJo,credit,38799.67,2026-01-04T17:04:00
fin_cwi4uzmW2wFqk4,pay_mxDoJJ9s8OrJQU,ord_oNCP3CrHe69s7Q,credit,22896.11,2026-01-26T18:02:00
fin_zUjzgEz6cwB61g,pay_aHCPPKY6gob2I4,ord_67s1XDeUnPPy0I,credit,4606.11,2026-02-03T16:08:00
fin_3tjhMKSxLsFAXh,pay_WmZIKYoWWKr99H,ord_QH8wylh0CPNLbW,credit,12254.09,2026-01-11T17:26:00
fin_MNb5ZqlRtva1Jy,pay_eZffTYIKIuhvPU,ord_O2I1A3zZyTttp7,credit,34372.37,2026-02-10T11:28:00
fin_f0pKGytvukFhF4,pay_fBALznFvgQKGtn,ord_iNbUnAvwSWJfdj,credit,30930.13,2026-02-27T12:20:00
fin_4yWQdNuuIxp07L,pay_Q2N9u8tBDNXKve,ord_vTYYojmLVOkVEU,credit,38017.87,2026-02-08T07:15:00
fin_PoBrUBHtYDZw69,pay_TQGOAwwln6Eoie,ord_jfP4tOPhRfINuh,credit,35171.26,2026-03-22T19:28:00
fin_ZITGgrscAXCg4K,pay_fjBFZf4Y25zyxx,ord_CrxG7YXipN2Ig0,credit,42573.19,2026-01-25T07:03:00
fin_yYDcOr1cOqXByB,pay_b2cxxUweoOgKUi,ord_bFpiAMozPf8eGF,credit,49417.74,2026-02-17T06:12:00
fin_iwtr7blG4hWRnL,pay_tLAQvc1v9r86eN,ord_7vlQwXqfAA9lsg,credit,16463.2,2026-01-26T05:12:00
fin_Nl7A4dhjkuRv63,pay_0S5NXFhmiXbIwX,ord_R9miekS9Y79PRI,credit,14589.08,2026-01-26T14:18:00
fin_ohBid61z73Y5Sl,pay_c1f6VqnJMb3HNs,ord_0pNIhsHFk6jOSL,credit,42142.25,2026-02-18T02:08:00
fin_8KXSQbD7WWJSKk,pay_H0A2TVwyJmIeFV,ord_j9C2EfyCoKdrL0,credit,33658.78,2026-01-25T09:09:00
fin_JH3yvVjc7e5OUn,pay_0TRGI9Dx7CHHP1,ord_MM0jQb6gbtjQzW,credit,46034.0,2026-03-16T11:22:00
fin_r9HE60DlgkCplT,pay_aI5z52Dm7tO4fJ,ord_ZqIqgTod4noguD,credit,34091.48,2026-01-12T17:18:00
fin_QKWGGw4gZ3mHk0,pay_BquKJqwoPCjQ53,ord_XJUk13ZFfPliup,credit,13113.19,2026-01-21T02:25:00
fin_U8CSAxoCjl2VbO,pay_UJcvd95e5bzVV8,ord_BQSE3BdizIIPtb,credit,12797.42,2026-01-01T06:21:00
fin_iCdzzGypueBxHZ,pay_FrYTtLPtsiOnsd,ord_M63oeKBP2pcBHU,credit,38825.57,2026-01-12T22:19:00
fin_E4HNdc06PVz0oR,pay_h9DpLm4IWxHwqF,ord_dxLceXKPnm4s4n,credit,9582.18,2026-03-05T06:16:00
fin_34o3QJq5QrHOl0,pay_RA6l4GoMpvXe7C,ord_aFxMPMDEaIaGr8,credit,955.42,2026-03-11T09:08:00
fin_f6BVgfAIFgfILW,pay_SF8dBZvV7yVbq9,ord_amiYY5sIJ0PHxT,credit,39545.85,2026-02-28T19:16:00
fin_urWw5m9lVbT6mX,pay_AEeppMKmgs6uMX,ord_1azWSI9pGQkqqj,credit,8443.65,2026-01-24T13:11:00
fin_Ds5fZTvvWGvgSC,pay_5QHXw3HNfVOwOc,ord_Ze0XPispjAxBLK,credit,26764.93,2026-03-20T19:21:00
fin_KPtohxiyKJAEH4,pay_lNAbMmKyRmUYdg,ord_ecSbvgX5TFIuAC,credit,39908.01,2026-02-23T17:28:00
fin_B9WoYKvSNkimmd,pay_z0EfbVsrHkCUVI,ord_5kkrl0M17EmxIO,credit,20515.8,2026-02-11T23:04:00
fin_nAnqZuJJEvQdgW,pay_ORijtp0yiNMxeX,ord_vrHuRrq19Qf7W4,credit,49625.06,2026-03-15T23:25:00
fin_eILkvnU5MBn3ih,pay_POdMTUAffneKGB,ord_Ch1Ba7mQiOj5qO,credit,12594.42,2026-02-01T17:01:00
fin_VAyNHjfe58juKV,pay_FUsd37EgEKG895,ord_TvAXpNpLSr6b02,credit,10351.74,2026-02-21T18:05:00
fin_pDxj51I4TAtzSq,pay_Rk7GWSkhWq2VbY,ord_ONtB7op5hLdPOk,credit,731.98,2026-01-12T17:09:00
fin_53GRx8ffiYeJA7,pay_sWTpw89WTHXj5b,ord_exF3lX87eCr0uI,credit,497.66,2026-01-18T02:18:00
fin_iZxNNKqYbd3Bh4,pay_hwVCC0fYsRLn1j,ord_oqtXRTtqemWKjk,credit,23356.15,2026-02-04T16:23:00
