payment_id,order_id,amount,currency,status,method,created_at
pay_ABr1VjArnVgxwv,ord_NbrnTP3fAbnFbm,32529.23,INR,captured,upi,2026-02-16T12:09:00
pay_4CqpIqK3yn9Ffc,ord_5QnuVdYXye4JSn,25011.64,INR,captured,card,2026-03-17T11:04:00
pay_eVVhDIq2AnHTmt,ord_k754LEgw9YooJe,36700.44,INR,captured,netbanking,2026-03-11T15:22:00
pay_d9Z850kEnydx9q,ord_OOdTXglHilC2eY,42812.75,INR,captured,wallet,2026-01-09T08:26:00
pay_FiveprBHs8YGPI,ord_G5mSoyPstUeC99,4084.64,INR,captured,upi,2026-01-19T04:30:00
pay_j518Y2bTu5X1Yq,ord_wIAcw58cwQPvI2,48694.47,INR,captured,upi,2026-03-05T22:26:00
pay_Ph3FPuRIlPxUkJ,ord_FxJpRa5HSUPweP,16576.98,INR,captured,upi,2026-01-27T18:13:00
pay_CGItUBY3A4Bj1B,ord_EpOaUVgAk7Gdp0,22877.45,INR,captured,card,2026-03-10T09:25:00
pay_8H4KPfA1lquCu2,ord_07zUHLnnBbuQzk,23422.77,INR,captured,wallet,2026-01-11T21:09:00
pay_wFv0Yg7NZRBT7q,ord_4x6mKZpRsQXXJc,26683.99,INR,captured,wallet,2026-02-26T10:26:00
pay_eaBKsoRRCQ5WMO,ord_Wx4sKAJd7gVMqf,12069.27,INR,captured,card,2026-02-17T02:30:00
pay_Rr6YICtu8zF9OH,ord_JVkGBr9BY8Dztg,8125.16,INR,captured,upi,2026-02-05T03:14:00
pay_tD4x9XOj7h7ug0,ord_K9EjHvIHCtlRJo,38799.67,INR,captured,wallet,2026-01-04T17:04:00
pay_mxDoJJ9s8OrJQU,ord_oNCP3CrHe69s7Q,22896.11,INR,captured,wallet,2026-01-26T18:02:00
pay_aHCPPKY6gob2I4,ord_67s1XDeUnPPy0I,4606.11,INR,captured,upi,2026-02-03T16:08:00
pay_WmZIKYoWWKr99H,ord_QH8wylh0CPNLbW,12254.09,INR,captured,card,2026-01-11T17:26:00
pay_eZffTYIKIuhvPU,ord_O2I1A3zZyTttp7,34372.37,INR,captured,upi,2026-02-10T11:28:00
