settlement_id,payment_id,order_id,amount,batch_id,status,settled_at
stl_H8xIZM1JRcoreo,pay_ABr1VjArnVgxwv,ord_NbrnTP3fAbnFbm,32529.23,batch_0001,settled,2026-02-17T12:09:00
stl_XAdx9G81aSQHqN,pay_4CqpIqK3yn9Ffc,ord_5QnuVdYXye4JSn,25011.64,batch_0001,settled,2026-03-18T11:04:00
stl_GhnuKoneNo41eo,pay_eVVhDIq2AnHTmt,ord_k754LEgw9YooJe,36622.19,batch_0001,settled,2026-03-14T15:22:00
stl_RTWPElndTdtdD5,pay_d9Z850kEnydx9q,ord_OOdTXglHilC2eY,42812.75,batch_0001,settled,2026-01-12T08:26:00
stl_ihgIqLSmNqE40f,pay_FiveprBHs8YGPI,ord_G5mSoyPstUeC99,3755.71,batch_0001,settled,2026-01-21T04:30:00
stl_cDm4vY2nOyreVv,pay_j518Y2bTu5X1Yq,ord_wIAcw58cwQPvI2,48694.47,batch_0001,settled,2026-03-08T22:26:00
stl_nWLtBPFX7TOrPM,pay_Ph3FPuRIlPxUkJ,ord_FxJpRa5HSUPweP,16576.98,batch_0001,settled,2026-01-28T18:13:00
stl_rWEoBSou3ejxjn,pay_CGItUBY3A4Bj1B,ord_EpOaUVgAk7Gdp0,22877.45,batch_0001,settled,2026-03-12T09:25:00
stl_fbH9vOWOU6mbjh,pay_8H4KPfA1lquCu2,ord_07zUHLnnBbuQzk,23422.77,batch_0001,settled,2026-01-14T21:09:00
stl_ZKtp5rBUJPuEuE,pay_wFv0Yg7NZRBT7q,ord_4x6mKZpRsQXXJc,26683.99,batch_0001,settled,2026-02-28T10:26:00
stl_HO4ZektUJrhQR6,pay_eaBKsoRRCQ5WMO,ord_Wx4sKAJd7gVMqf,12069.27,batch_0002,settled,2026-02-20T02:30:00
stl_azn0h6Oj5sRzDD,pay_Rr6YICtu8zF9OH,ord_JVkGBr9BY8Dztg,8125.16,batch_0002,settled,2026-02-07T03:14:00
stl_2ceN59UAgN2BR4,pay_tD4x9XOj7h7ug0,ord_K9EjHvIHCtlRJo,38799.67,batch_0002,settled,2026-01-05T17:04:00
stl_3WoXnlpUVQigMc,pay_mxDoJJ9s8OrJQU,ord_oNCP3CrHe69s7Q,22896.11,batch_0002,settled,2026-01-28T18:02:00
stl_CROhcc9hoHyx6R,pay_aHCPPKY6gob2I4,ord_67s1XDeUnPPy0I,4606.11,batch_0002,settled,2026-02-06T16:08:00
stl_F6cW1GC7dDyQE4,pay_WmZIKYoWWKr99H,ord_QH8wylh0CPNLbW,12254.09,batch_0002,settled,2026-01-12T17:26:00
stl_LvJnOng0wVJY08,pay_eZffTYIKIuhvPU,ord_O2I1A3zZyTttp7,34372.37,batch_0002,settled,2026-02-13T11:28:00
stl_cb51JJRzhbuXMZ,pay_fBALznFvgQKGtn,ord_iNbUnAvwSWJfdj,30930.13,batch_0002,settled,2026-03-01T12:20:00
stl_Djdg3vSFkpBBGj,pay_Q2N9u8tBDNXKve,ord_vTYYojmLVOkVEU,38017.87,batch_0002,settled,2026-02-10T07:15:00
stl_HTGP2MLjlQM3Sc,pay_TQGOAwwln6Eoie,ord_jfP4tOPhRfINuh,35171.26,batch_0003,settled,2026-03-24T19:28:00
stl_tgSujc4DZVDM4b,pay_fjBFZf4Y25zyxx,ord_CrxG7YXipN2Ig0,42573.19,batch_0003,settled,2026-01-26T07:03:00
stl_kWCRNYdWCscmc5,pay_b2cxxUweoOgKUi,ord_bFpiAMozPf8eGF,49417.74,batch_0003,settled,2026-02-20T06:12:00
stl_iLWceWwxJLQ6xV,pay_tLAQvc1v9r86eN,ord_7vlQwXqfAA9lsg,16463.2,batch_0003,settled,2026-01-29T05:12:00
stl_ft9SGVZe8NBQv2,pay_0S5NXFhmiXbIwX,ord_R9miekS9Y79PRI,14589.08,batch_0003,settled,2026-01-29T14:18:00
stl_edBEmLtST18iwI,pay_c1f6VqnJMb3HNs,ord_0pNIhsHFk6jOSL,42142.25,batch_0003,settled,2026-02-20T02:08:00
stl_i5tyM0KFFEIDbu,pay_H0A2TVwyJmIeFV,ord_j9C2EfyCoKdrL0,33658.78,batch_0003,settled,2026-01-26T09:09:00
stl_lpIn8srmRtv5Xq,pay_0TRGI9Dx7CHHP1,ord_MM0jQb6gbtjQzW,46034.0,batch_0003,settled,2026-03-17T11:22:00
stl_k2k59yE6752aJg,pay_aI5z52Dm7tO4fJ,ord_ZqIqgTod4noguD,34091.48,batch_0003,settled,2026-01-14T17:18:00
stl_N6wn7DC9xR4UXZ,pay_BquKJqwoPCjQ53,ord_XJUk13ZFfPliup,13113.19,batch_0003,settled,2026-01-22T02:25:00
stl_3B4xe72i1h9yh8,pay_UJcvd95e5bzVV8,ord_BQSE3BdizIIPtb,12797.42,batch_0004,settled,2026-01-02T06:21:00
stl_AE86PWtzjxUD0s,pay_FrYTtLPtsiOnsd,ord_M63oeKBP2pcBHU,38825.57,batch_0004,settled,2026-01-15T22:19:00
stl_oJpI6uVESTCTvi,pay_h9DpLm4IWxHwqF,ord_dxLceXKPnm4s4n,9582.18,batch_0004,settled,2026-03-08T06:16:00
stl_Ze9ObzxDNRf0Nu,pay_RA6l4GoMpvXe7C,ord_aFxMPMDEaIaGr8,955.42,batch_0004,settled,2026-03-12T09:08:00
stl_6AQOfMXSfjSNTt,pay_SF8dBZvV7yVbq9,ord_amiYY5sIJ0PHxT,39545.85,batch_0004,settled,2026-03-01T19:16:00
stl_Y18it6mt78sREJ,pay_AEeppMKmgs6uMX,ord_1azWSI9pGQkqqj,8443.65,batch_0004,settled,2026-01-25T13:11:00
stl_uXggnUIQnxCQQj,pay_5QHXw3HNfVOwOc,ord_Ze0XPispjAxBLK,26764.93,batch_0004,settled,2026-03-21T19:21:00
stl_mhPE7tyyhvCkPX,pay_lNAbMmKyRmUYdg,ord_ecSbvgX5TFIuAC,39908.01,batch_0004,settled,2026-02-26T17:28:00
stl_H9HUVBnATOp2bq,pay_z0EfbVsrHkCUVI,ord_5kkrl0M17EmxIO,20515.8,batch_0004,settled,2026-02-12T23:04:00
stl_UR2CEK10f8NR0X,pay_ORijtp0yiNMxeX,ord_vrHuRrq19Qf7W4,49625.06,batch_0004,settled,2026-03-17T23:25:00
stl_9AiexTgt2iVUi9,pay_POdMTUAffneKGB,ord_Ch1Ba7mQiOj5qO,12594.42,batch_0005,settled,2026-02-02T17:01:00
stl_JwQV7VbeqcdWFM,pay_FUsd37EgEKG895,ord_TvAXpNpLSr6b02,10351.74,batch_0005,settled,2026-02-24T18:05:00
stl_8MEFd1kjV3PhTa,pay_Rk7GWSkhWq2VbY,ord_ONtB7op5hLdPOk,731.98,batch_0005,settled,2026-01-13T17:09:00
stl_QauVxTtm8A78ir,pay_sWTpw89WTHXj5b,ord_exF3lX87eCr0uI,497.66,batch_0005,settled,2026-01-19T02:18:00
stl_ydsYk70IIfgXhd,pay_hwVCC0fYsRLn1j,ord_oqtXRTtqemWKjk,23356.15,batch_0005,settled,2026-02-05T16:23:00
stl_wHE4Fyltn3Wd9G,pay_MMOE2DfxzNXp9H,ord_ZucCkJYybQknlr,44182.85,batch_0005,settled,2026-01-06T22:01:00
stl_017x6ygsij6X7O,pay_kcdLbDuMXvlX1d,ord_0kKXR4bR6IIl92,24662.11,batch_0005,settled,2026-01-28T08:05:00
stl_xHgD1OQke0st7e,pay_fRN2BqpepgaxT8,ord_0VJltYLNgEuevt,31845.72,batch_0005,settled,2026-03-25T04:29:00
stl_wBqCoqdUPfvH8K,pay_PLmbksf0tyEOfH,ord_u8zI5HOsfyIEda,4472.66,batch_0005,settled,2026-03-15T07:06:00
stl_yMQyy2QdDqxuXt,pay_p44eyyurC2WMGA,ord_J8j6B6knlceQmY,7479.12,batch_0005,settled,2026-02-22T18:14:00
stl_a4OLapXs7NAxvp,pay_C4RqZFNhbxKl1K,ord_EGxdXeRzWGJk2m,2975.61,batch_0006,settled,2026-01-05T19:12:00
stl_T63UGbaTo2tgFs,pay_tdCmVJjWWiAAAD,ord_QGz1j9v939i1lf,16698.21,batch_0006,settled,2026-01-17T02:01:00
stl_3FMrWELWZ8wzjH,pay_gZchBhpRmQaAgG,ord_zoTiTKkwOc2pHd,49734.54,batch_0006,settled,2026-02-27T11:20:00
stl_DE3BdOa1GUSn72,pay_kwBM2fYly7qx0X,ord_C8qdY20wPAh03a,7005.88,batch_0006,settled,2026-02-28T05:21:00
stl_wdnCIMDOShVnvZ,pay_Et8UbzcIZX7N3I,ord_001eEo8dnNzoCX,22460.12,batch_0006,settled,2026-03-17T02:21:00
stl_78CizRUsR1S6Nm,pay_0DF5kJThyL2Fx8,ord_luUcNPh3CKF7aT,27705.99,batch_0006,settled,2026-02-09T22:30:00
stl_cxzWQ7dUm11BnN,pay_0QsUcYg1T1UIoW,ord_SP3H2AagxddqW8,34201.18,batch_0006,settled,2026-01-16T11:26:00
stl_Z8aPB4MM7Qt46x,pay_eRG7GWjHzv2Pus,ord_IiKpuSjjud5MPE,28676.58,batch_0006,settled,2026-02-03T13:25:00
stl_MUKRe5gWsfVByO,pay_CufdXIJoqyNAbP,ord_HMnNnQZmZ2TAYe,34333.57,batch_0006,settled,2026-01-05T00:18:00
stl_PorelEuOQjJY7k,pay_ZmlX0059CIsegS,ord_2icJyHfnTTn40i,9281.24,batch_0007,settled,2026-02-24T15:16:00
stl_ijJJ2jT6cVoqoP,pay_q3HOjy3K1iFfwa,ord_01iHq2eebFbKzK,45324.55,batch_0007,settled,2026-02-20T01:08:00
stl_Y6nLDDnziKVMFk,pay_oFrjjLYOzuhPDK,ord_OwOZGx4Gv1EDLF,7034.52,batch_0007,settled,2026-01-18T03:21:00
stl_aUaGGxmXzgAKqH,pay_6DVvX4ZJApV4fL,ord_cWFhDiLZ3WOGwc,26537.84,batch_0007,settled,2026-01-23T13:18:00
stl_BmOXrcLFokcoaj,pay_ZDLfqwLS5yOr7d,ord_1OUBRknyuIRRj7,364.0,batch_0007,settled,2026-01-10T18:25:00
stl_zvHRqryUvIltnJ,pay_BxDpvWQ31DpxWn,ord_Lm5Jqzges6X72Y,28787.2,batch_0007,settled,2026-03-02T05:23:00
stl_xgw1lqq7vlAzUw,pay_yUhGA6cv1WChGt,ord_PPMVHcDME931E9,45808.74,batch_0007,settled,2026-01-26T21:01:00
stl_PET3xrNikYuNJ0,pay_fUqwIYvzvQLJOH,ord_kE90GSWsIJyQdY,23879.32,batch_0007,settled,2026-02-24T17:25:00
stl_HqB8RkLNNIGNtv,pay_qjO2tprMiZbP1u,ord_0hopUUnyf6DdVG,49801.09,batch_0007,settled,2026-01-12T20:16:00
stl_CXu07dWeDl0YZh,pay_oV4YQrUYz0lrNM,ord_sVXLXHl2BpSOZn,4052.57,batch_0007,settled,2026-02-26T08:09:00
stl_Xho8WUXBlQwi3E,pay_p8KQQjVpEQu8Vd,ord_c6GpNm31nhNukr,6070.51,batch_0008,settled,2026-03-11T08:12:00
stl_GRpwLe5mE3eXdI,pay_IMuNgGeZi2mEgJ,ord_HCWFT2MwMtd7Yl,34192.89,batch_0008,settled,2026-03-09T08:27:00
stl_C7acrbi3a9ntV6,pay_j9Bvt9uxVATLIn,ord_OJ6IIUVJPRAgXI,25284.17,batch_0008,settled,2026-02-28T02:25:00
stl_ndTyBKFnryifJd,pay_vYz11oOLaWxscH,ord_neuDE3RYfNcYxW,46101.39,batch_0008,settled,2026-01-31T12:05:00
stl_bmHmGqDTiRbKPc,pay_cYmxU0gd651YaR,ord_AQJgzwlvOVkvYX,31196.79,batch_0008,settled,2026-02-08T14:04:00
stl_vyiTGQ2QzJAtLB,pay_yjvvMo8FYM23Yb,ord_x8FS4ELfm7ISc5,15315.88,batch_0008,settled,2026-02-12T19:18:00
stl_x0EilbVaqzU9Ue,pay_jlib9MLLKobeWi,ord_tI6ht2TV2zzB53,46669.18,batch_0008,settled,2026-01-26T08:28:00
stl_ubC332fuOSkTfR,pay_2Vrks4Q4COfFlK,ord_2WGBZc9GyTIFNd,14629.85,batch_0008,settled,2026-02-06T23:29:00
stl_UwcVu3YV0eDh1u,pay_LEnOCBLa2rMYml,ord_lSAtVBMhimMpC1,27220.71,batch_0008,settled,2026-01-03T11:02:00
stl_3CY5dGJQIbJu4X,pay_TmMzcvXnNQpesI,ord_G9viIGNElLR8ab,31310.49,batch_0008,settled,2026-01-12T01:25:00
stl_c02u3gVUbVNnmr,pay_vD2tuVg8G9mcy1,ord_zEoC6nsgWW4BbD,25052.71,batch_0009,settled,2026-01-20T05:04:00
stl_6i3pwl4u1uEegD,pay_BwumVYe5VJfXRg,ord_peMvBiDPgdAlKK,41825.1,batch_0009,settled,2026-03-02T16:10:00
stl_4NajjGyJmQtJ4s,pay_KCIYk7egYVxEOf,ord_jDemRA8JvRkPTS,41853.73,batch_0009,settled,2026-01-12T18:27:00
stl_CAYxnAaETSq5Jc,pay_j9PieaSEB9fNzC,ord_grbAKMSzAnkiI0,18078.37,batch_0009,settled,2026-02-06T14:26:00
stl_heWpMrpTL4TOwk,pay_8skRLsWqNJJOsT,ord_DT7eNXtdvWDFDT,21108.7,batch_0009,settled,2026-03-26T23:01:00
stl_lEiVnN4SgeJpB3,pay_VQPVpWrdy9qYle,ord_Rh1iO3J73RpC6N,46142.5,batch_0009,settled,2026-01-25T14:30:00
stl_znOG61HToeTEb4,pay_eCVOkcxlR3NwfN,ord_eoxQWhH9usd9Ow,42681.77,batch_0009,settled,2026-02-02T00:24:00
